,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
83,,Nikon AF NIKKOR 85 mm F18D Lens WCaps Excellent Tokyo Japan Tested,123745258353,Nikon AF NIKKOR 85mm F1.8D Lens W/Caps Excellent+ From Tokyo Japan Tested,https://www.ebay.com/itm/Nikon-AF-NIKKOR-85mm-F1-8D-Lens-W-Caps-Excellent-Tokyo-Japan-Tested-/123745258353,240.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor,7954.0,21
51,,Nikon AF NIKKOR 85 mm F18 D Original Box EB1051,283620525161,Nikon AF NIKKOR 85mm F1.8 D With Original Box #EB1051,https://www.ebay.com/itm/Nikon-AF-NIKKOR-85mm-F1-8-D-Original-Box-EB1051-/283620525161,269.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF NIKKOR,7954.0,21
74,,MINT Nikon AF Nikkor 70210 mm f456D Zoom Lens JAPAN 8,133165464255,[Near MINT] Nikon AF Nikkor 70-210mm f/4-5.6D Zoom Lens from JAPAN #8,https://www.ebay.com/itm/Near-MINT-Nikon-AF-Nikkor-70-210mm-f-4-5-6D-Zoom-Lens-JAPAN-8-/133165464255,54.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF Nikkor,7954.0,21
83,,NIKON AF NIKKOR 180 mm F28 ED Lens Japan Exc 8259A,153622264576,NIKON AF NIKKOR 180mm F2.8 ED IF Lens from Japan [Exc] #8259A,https://www.ebay.com/itm/NIKON-AF-NIKKOR-180mm-F2-8-ED-IF-Lens-Japan-Exc-8259A-/153622264576,299.0,USD,JP,3323,Lenses,FixedPrice,Used,NIKON AF NIKKOR,7953.0,21
12,,NIKON AF NIKKOR 80200 mm F28 ED Lens Japan Exc 8258A,153622224496,NIKON AF NIKKOR 80-200mm F2.8 ED Lens from Japan [Exc++] #8258A,https://www.ebay.com/itm/NIKON-AF-NIKKOR-80-200mm-F2-8-ED-Lens-Japan-Exc-8258A-/153622224496,175.0,USD,JP,3323,Lenses,FixedPrice,Used,NIKON AF NIKKOR,7953.0,21
51,,Nikon AF NIKKOR 50 mm Standard Prime Lens wbox Japan Near Mint 9017A,153630466329,Nikon AF NIKKOR 50mm f1.4 D Standard Prime Lens w/box Japan [Near Mint] #9017A,https://www.ebay.com/itm/Nikon-AF-NIKKOR-50mm-f1-4-D-Standard-Prime-Lens-w-box-Japan-Near-Mint-9017A-/153630466329,190.0,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF NIKKOR,7953.0,21
98,,TOP MINT BOX Nikon AF NIKKOR 35 mm f2 D Auto Focus Lens Japan 055,133122430706,【TOP MINT IN BOX】 Nikon AF NIKKOR 35mm f/2 D Auto Focus Lens from Japan 055,https://www.ebay.com/itm/TOP-MINT-BOX-Nikon-AF-NIKKOR-35mm-f-2-D-Auto-Focus-Lens-Japan-055-/133122430706,227.9,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF NIKKOR,7953.0,21
51,,Nikon AF NIKKOR 105 mm F28 Micro Lens WCaps Exc japan,293084506747,Nikon AF NIKKOR 105mm F/2.8 Micro Lens W/Caps [Exc+++] from japan,https://www.ebay.com/itm/Nikon-AF-NIKKOR-105mm-F-2-8-Micro-Lens-W-Caps-Exc-japan-/293084506747,189.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor,7953.0,21
30,,Nikon Ai Micro Nikkor 105 mm 4 MF Lens JAPAN 191080,174020982918,"""Excellent"" Nikon Ai Micro Nikkor 105mm f/ 4 MF Lens JAPAN #191080",https://www.ebay.com/itm/Excellent-Nikon-Ai-Micro-Nikkor-105mm-f-4-MF-Lens-JAPAN-191080-/174020982918,69.99,USD,JP,3323,Lenses,StoreInventory,Used,Ai,5070.0,21
35,,Nikon NIKKOR 85 mm f18 Ai Manual Focus Lens Japan E176,153641337972,Nikon NIKKOR 85mm f/1.8 Ai Converted Manual Focus Lens from Japan (E176),https://www.ebay.com/itm/Nikon-NIKKOR-85mm-f-1-8-Ai-Converted-Manual-Focus-Lens-Japan-E176-/153641337972,185.0,USD,JP,3323,Lenses,StoreInventory,Used,Ai,5070.0,21
