,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition
33,,NIKON Ai NIKKOR 85 mm f2 Prime MF SLR Lens JAPAN A91,362666944832,【Excellent +++】 NIKON Ai  NIKKOR 85mm f/2 Prime MF SLR Lens  From JAPAN A91,https://www.ebay.com/itm/Excellent-NIKON-Ai-NIKKOR-85mm-f-2-Prime-MF-SLR-Lens-JAPAN-A91-/362666944832,198.0,USD,JP,3323,Lenses,StoreInventory,Used
39,,Mint Nikon Nikkor 28 mm f2 AiS AiS Wide Angle Lens w Filter JAPAN,392423218100,[Near Mint] Nikon Nikkor 28mm f2 Ai-S AiS Wide Angle Lens w/ Filter from JAPAN,https://www.ebay.com/itm/Near-Mint-Nikon-Nikkor-28mm-f2-Ai-S-AiS-Wide-Angle-Lens-w-Filter-JAPAN-/392423218100,259.99,USD,JP,3323,Lenses,StoreInventory,Used
43,,EXC5 Nikon Nikkor 105 mm f25 Ai Mount Manual Focus Telephoto Lens Japan,133173723552,【EXC5】 Nikon Nikkor 105mm f/2.5 Ai Mount Manual Focus Telephoto Lens from Japan,https://www.ebay.com/itm/EXC5-Nikon-Nikkor-105mm-f-2-5-Ai-Mount-Manual-Focus-Telephoto-Lens-Japan-/133173723552,137.9,USD,JP,3323,Lenses,StoreInventory,Used
45,,MINT BOX Nikon Bellows wSlide Copying Adapter PS6 Japan 1146,392425694744,[MINT in BOX] Nikon Bellows PB-6 w/Slide Copying Adapter PS-6  From Japan #1146,https://www.ebay.com/itm/MINT-BOX-Nikon-Bellows-PB-6-w-Slide-Copying-Adapter-PS-6-Japan-1146-/392425694744,239.9,USD,JP,30059,"Lens Adapters, Mounts & Tubes",StoreInventory,Used
50,,Nikon DE2 Eye Level Prism viewfinder Nikon F3 SN280,254363825359,Nikon DE-2 Eye Level Prism viewfinder for Nikon F3 SN280,https://www.ebay.com/itm/Nikon-DE-2-Eye-Level-Prism-viewfinder-Nikon-F3-SN280-/254363825359,33.8,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used
52,,MINT CaseNikon 12x40 55 WF MultiCoated Binoculars Japan 2183,254313729627,【Near MINT in Case】Nikon 12x40 5.5° WF Multi-Coated Binoculars from Japan #2183,https://www.ebay.com/itm/Near-MINT-Case-Nikon-12x40-5-5-WF-Multi-Coated-Binoculars-Japan-2183-/254313729627,241.99,USD,JP,83880,Binoculars & Monoculars,StoreInventory,Used
54,,Mint Nikon O56 Orange 52 mm Lens Filter Japan 136,392374708916,[Near Mint] Nikon O56 Orange 52mm Lens Filter from Japan #136,https://www.ebay.com/itm/Near-Mint-Nikon-O56-Orange-52mm-Lens-Filter-Japan-136-/392374708916,15.29,USD,JP,15216,Filters,StoreInventory,Used
55,,Mint NIKON AiS Nikkor 50 mm MF Prime Lens AIS JAPAN 220,401859426212,* Almost Mint * NIKON Ai-S Nikkor 50mm f1.2 MF Prime Lens AIS From JAPAN #220,https://www.ebay.com/itm/Almost-Mint-NIKON-Ai-S-Nikkor-50mm-f1-2-MF-Prime-Lens-AIS-JAPAN-220-/401859426212,349.9,USD,JP,3323,Lenses,StoreInventory,Used
69,,Nikon Non Ai Zoom NikkorC Auto 80200 mm f45 MF Lens Japan 175180K693,383120133322,Nikon Non- Ai Zoom Nikkor.C Auto 80-200mm f4.5 MF Lens From Japan #175180/K693,https://www.ebay.com/itm/Nikon-Non-Ai-Zoom-Nikkor-C-Auto-80-200mm-f4-5-MF-Lens-Japan-175180-K693-/383120133322,36.0,USD,JP,3323,Lenses,StoreInventory,Used
75,,Nikon AF Teleconverter TC16A 16X Japan Exc 476678,143354497866,Nikon AF Teleconverter TC-16A 1.6X from Japan [Exc++] #476678,https://www.ebay.com/itm/Nikon-AF-Teleconverter-TC-16A-1-6X-Japan-Exc-476678-/143354497866,89.0,USD,JP,3323,Lenses,StoreInventory,Used
76,,Nikon AF NIKKOR 70210 mm F4 Zoom Lens Excellent Japan 1443,293227190883,Nikon AF NIKKOR 70-210mm F4 Zoom Lens [Excellent+++] from Japan #1443,https://www.ebay.com/itm/Nikon-AF-NIKKOR-70-210mm-F4-Zoom-Lens-Excellent-Japan-1443-/293227190883,129.0,USD,JP,3323,Lenses,StoreInventory,Used
81,,MINTNikon NIKKOR 35 mm f28 Ai MF Manual Focus lens Japan A071,383147210748,【MINT】Nikon NIKKOR 35mm f/2.8 Ai MF Manual Focus lens from Japan A071,https://www.ebay.com/itm/MINT-Nikon-NIKKOR-35mm-f-2-8-Ai-MF-Manual-Focus-lens-Japan-A071-/383147210748,139.99,USD,JP,3323,Lenses,StoreInventory,Used
82,,VeryGood Nikon DR6 Right Angle Viewfinder wCase Japan,273779968081,VeryGood Nikon DR-6 Right Angle Viewfinder w/Case from Japan,https://www.ebay.com/itm/VeryGood-Nikon-DR-6-Right-Angle-Viewfinder-w-Case-Japan-/273779968081,80.0,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used
85,,Mint Nikon Nikkor 50 mm f20 Ai lens Japan,303210498417,[Near Mint] Nikon Nikkor 50mm f2.0 Ai lens From Japan,https://www.ebay.com/itm/Near-Mint-Nikon-Nikkor-50mm-f2-0-Ai-lens-Japan-/303210498417,80.0,USD,JP,3323,Lenses,FixedPrice,Used
88,,Excellent Nikon HS5 Metal Lens Hood NonAi Ai 50 mm 14 Japan,163870097814,[Excellent+++] Nikon HS-5 Metal Lens Hood for Non-Ai Ai 50mm 1.4 From Japan,https://www.ebay.com/itm/Excellent-Nikon-HS-5-Metal-Lens-Hood-Non-Ai-Ai-50mm-1-4-Japan-/163870097814,19.8,USD,JP,78999,Lens Hoods,StoreInventory,Used
96,,Nikon F4s 35 mm SLR Film Camera Body SN2298105,254362090950,Nikon F4s 35mm SLR Film Camera Body Only  SN2298105,https://www.ebay.com/itm/Nikon-F4s-35mm-SLR-Film-Camera-Body-Only-SN2298105-/254362090950,87.8,USD,JP,15230,Film Cameras,StoreInventory,Used
98,,Nikon Ai Nikkor 135 mm Lens japan,123914547682,Nikon Ai Nikkor 135mm f/2.8 Lens from japan #i9,https://www.ebay.com/itm/Nikon-Ai-Nikkor-135mm-f-2-8-Lens-japan-i9-/123914547682,100.0,USD,JP,3323,Lenses,StoreInventory,Used
99,,NEAR MINT Tokina ATX PRO AF 2870 mm f28 Zoom Lens Nikon Japan,352802288653,NEAR MINT Tokina AT-X PRO AF 28-70mm f/2.8 Zoom Lens for Nikon from Japan,https://www.ebay.com/itm/NEAR-MINT-Tokina-AT-X-PRO-AF-28-70mm-f-2-8-Zoom-Lens-Nikon-Japan-/352802288653,169.0,USD,JP,3323,Lenses,StoreInventory,Used
1,,N MINTNikon Nikkor W 135 mm f56 Copal 0 4x5 Lens TOYO Board Japan 557,153496900712,【N MINT++】Nikon Nikkor W 135mm f/5.6 Copal 0 4x5 Lens TOYO Board from Japan 557,https://www.ebay.com/itm/N-MINT-Nikon-Nikkor-W-135mm-f-5-6-Copal-0-4x5-Lens-TOYO-Board-Japan-557-/153496900712,189.99,USD,JP,3323,Lenses,StoreInventory,Used
3,,NMINT BOX NIKON AS4 Flash Coupler Hot Shoe Unit F3 JAPAN,123801986531,【N.MINT in BOX】 NIKON AS-4 Flash Coupler Hot Shoe Unit for F3 From JAPAN #s125,https://www.ebay.com/itm/N-MINT-BOX-NIKON-AS-4-Flash-Coupler-Hot-Shoe-Unit-F3-JAPAN-s125-/123801986531,18.9,USD,JP,69573,Flash Adapters,StoreInventory,Used
6,,MINT Nikon PB4 PS4 Slide Copying Adapter JAPAN,254322084820,【Near MINT-】 Nikon PB-4 Bellows Focusing + PS-4 Slide Copying Adapter from JAPAN,https://www.ebay.com/itm/Near-MINT-Nikon-PB-4-Bellows-Focusing-PS-4-Slide-Copying-Adapter-JAPAN-/254322084820,217.0,USD,JP,30059,"Lens Adapters, Mounts & Tubes",StoreInventory,Used
10,,ASIS Nikon 50 mm F28 Bronica Meduim Format Lens,283622839070,AS-IS Nikon NIKKOR-O 50mm F2.8 for Bronica Meduim Format Lens,https://www.ebay.com/itm/AS-IS-Nikon-NIKKOR-O-50mm-F2-8-Bronica-Meduim-Format-Lens-/283622839070,38.0,USD,JP,3323,Lenses,FixedPrice,Used
11,,AB Exc Nikon AFS NIKKOR 300 mm f28 ED D AF Lens w Hood JAPAN 5805,174014495177,[AB- Exc] Nikon AF-S NIKKOR 300mm f/2.8 ED IF D AF Lens w/ Hood From JAPAN 5805,https://www.ebay.com/itm/AB-Exc-Nikon-AF-S-NIKKOR-300mm-f-2-8-ED-IF-D-AF-Lens-w-Hood-JAPAN-5805-/174014495177,1698.0,USD,JP,3323,Lenses,FixedPrice,Used
12,,NEAR MINT Nikon AF Nikkor 24 mm f28 1728,264473646297,[NEAR MINT] Nikon AF Nikkor 24mm f/2.8 (1728),https://www.ebay.com/itm/NEAR-MINT-Nikon-AF-Nikkor-24mm-f-2-8-1728-/264473646297,129.99,USD,JP,3323,Lenses,FixedPrice,Used
22,,Nikon 43 mm lens filter L39 Nikkor SC 5 cm F14 35 cm F35 F25 28 cm F28,323926586790,Nikon Early 43mm lens filter L39 Nikkor SC 5cm F1.4 3.5cm F3.5 F2.5 2.8cm F2.8,https://www.ebay.com/itm/Nikon-Early-43mm-lens-filter-L39-Nikkor-SC-5cm-F1-4-3-5cm-F3-5-F2-5-2-8cm-F2-8-/323926586790,59.99,USD,JP,15216,Filters,FixedPrice,Used
25,,SPECIAL SET Nikon Nikonos V Underwater Camera SB105 Japan,392358399904,"【SPECIAL SET】 Nikon Nikonos V Underwater Camera w/ SB-105, & More! from Japan",https://www.ebay.com/itm/SPECIAL-SET-Nikon-Nikonos-V-Underwater-Camera-w-SB-105-More-Japan-/392358399904,339.99,USD,JP,15230,Film Cameras,FixedPrice,Used
42,,N Mint Nikon Nikkor O Auto 35 mm f2 Non Ai Nippon Kogaku Lens japan 613,174041764001,[N Mint] Nikon Nikkor O Auto 35mm f/2 Non Ai Nippon Kogaku Lens from japan #613,https://www.ebay.com/itm/N-Mint-Nikon-Nikkor-O-Auto-35mm-f-2-Non-Ai-Nippon-Kogaku-Lens-japan-613-/174041764001,119.9,USD,JP,3323,Lenses,StoreInventory,Used
