,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
55,,Nikon Ai Nikkor 50 mm 14 MF Standard Lens F Mount JAPAN 190961,174000963061,"""Exc+5"" Nikon Ai Nikkor 50mm f/ 1.4 MF Standard Lens F Mount JAPAN #190961",https://www.ebay.com/itm/Exc-5-Nikon-Ai-Nikkor-50mm-f-1-4-MF-Standard-Lens-F-Mount-JAPAN-190961-/174000963061,129.99,USD,JP,3323,Lenses,StoreInventory,Used,Ai,5039.0,3
40,,Nikon Ai ZoomNIKKOR C Auto 80200 mm f45 Telephoto MF Lens Exc Japan,352776227015,Nikon Ai Zoom-NIKKOR C Auto 80-200mm f/4.5 Telephoto MF Lens Exc+++ From Japan,https://www.ebay.com/itm/Nikon-Ai-Zoom-NIKKOR-C-Auto-80-200mm-f-4-5-Telephoto-MF-Lens-Exc-Japan-/352776227015,49.99,USD,JP,3323,Lenses,StoreInventory,Used,AI,5039.0,3
72,,NEAR MINTNikon Nikkor Ai 80200 mm f45 AI Zoom MF Lens Japan T1176,143346995053,【NEAR MINT】Nikon Nikkor Ai 80-200mm f/4.5 AI Zoom MF Lens From Japan T1176,https://www.ebay.com/itm/NEAR-MINT-Nikon-Nikkor-Ai-80-200mm-f-4-5-AI-Zoom-MF-Lens-Japan-T1176-/143346995053,59.99,USD,JP,3323,Lenses,StoreInventory,Used,AI,5039.0,3
40,,EXC Nikon Ai Zoom Nikkor 80200 mm f45 Manual Focus MF Lens Japan 1636,153560900993,【EXC++++】 Nikon Ai Zoom Nikkor 80-200mm f/4.5 Manual Focus MF Lens Japan 1636,https://www.ebay.com/itm/EXC-Nikon-Ai-Zoom-Nikkor-80-200mm-f-4-5-Manual-Focus-MF-Lens-Japan-1636-/153560900993,89.99,USD,JP,3323,Lenses,StoreInventory,Used,AI,5039.0,3
21,,Nikon Ai NIKKOR 180 mm f28 MF Lens 128 Japan Excellent,233293390133,Nikon Ai NIKKOR 180mm f2.8 MF Lens 1:2.8 Made in Japan [Excellent+++],https://www.ebay.com/itm/Nikon-Ai-NIKKOR-180mm-f2-8-MF-Lens-1-2-8-Made-Japan-Excellent-/233293390133,178.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai,4981.0,3
37,,Nikon Ai Nikkor 50 mm F12 Prime MF Lens Caps Tokyo Japan Excellent,254355023627,Nikon Ai Nikkor 50mm F/1.2 Prime MF Lens From with Caps Tokyo Japan Excellent+++,https://www.ebay.com/itm/Nikon-Ai-Nikkor-50mm-F-1-2-Prime-MF-Lens-Caps-Tokyo-Japan-Excellent-/254355023627,299.99,USD,JP,3323,Lenses,StoreInventory,Used,NIkon Ai,4981.0,3
76,,MintNikon Ai 200 mm f4 Telephoto MF Lens Japan 47,133109215172,【Near Mint】Nikon Ai 200mm f4 Telephoto MF Lens from Japan #47,https://www.ebay.com/itm/Near-Mint-Nikon-Ai-200mm-f4-Telephoto-MF-Lens-Japan-47-/133109215172,65.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai,4981.0,3
49,,Nikon Ai NIKKOR 28 mm f28 Lens MF 128 Japan,233331107414,[Excellent+++++!] Nikon Ai NIKKOR  28mm f/2.8 Lens MF 1:2.8 Made in Japan,https://www.ebay.com/itm/Excellent-Nikon-Ai-NIKKOR-28mm-f-2-8-Lens-MF-1-2-8-Made-Japan-/233331107414,115.7,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai,4981.0,3
23,,MINT Nikon AI Zoom Nikkor 80200 mm F45 MF Lens Japan Free Shipping,264418501901,[MINT] Nikon AI Zoom Nikkor 80-200mm F/4.5 MF Lens From Japan Free Shipping,https://www.ebay.com/itm/MINT-Nikon-AI-Zoom-Nikkor-80-200mm-F-4-5-MF-Lens-Japan-Free-Shipping-/264418501901,79.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AI,4966.0,3
27,,Near MintNikon Nikkor AI 105 mm f25 MF Lens JAPAN 957,113828581505,【Near Mint+++】Nikon Nikkor AI 105mm f/2.5 MF Lens From JAPAN #957,https://www.ebay.com/itm/Near-Mint-Nikon-Nikkor-AI-105mm-f-2-5-MF-Lens-JAPAN-957-/113828581505,169.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Nikkor Ai,4197.0,3
