,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts
54,,nikon nikormat el,323904978388,Nikon Nikormat EL 35mm SLR Film Camera Body Only  SN5196861,https://www.ebay.com/itm/Nikon-Nikormat-EL-35mm-SLR-Film-Camera-Body-Only-SN5196861-/323904978388,11.8,USD,JP,15230,Film Cameras,StoreInventory,Used,,8
2,,nippon kogaku nikkor,303285561748,"Nippon kogaku Nikkor H 5cm F2 1:2 Leica LTM39 Mount Lens, ""Exc++""#7543",https://www.ebay.com/itm/Nippon-kogaku-Nikkor-H-5cm-F2-1-2-Leica-LTM39-Mount-Lens-Exc-7543-/303285561748,254.0,USD,JP,3323,Lenses,FixedPrice,Used,Nikkor H 5cm F2 Leica Screw Mount,8
28,,near mintnikon nikkornc,392349238714,【Near Mint】Nikon NIKKOR-N.C Auto 24mm F2.8 from Japan #11,https://www.ebay.com/itm/Near-Mint-Nikon-NIKKOR-N-C-Auto-24mm-F2-8-Japan-11-/392349238714,89.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon NIKKOR-N.C Auto 24mm F2.8,8
93,,nikon dr6 angle,283584974840,▣ MINT in Case ▣ Nikon DR-6 Angle Finder from Japan #91,https://www.ebay.com/itm/MINT-Case-Nikon-DR-6-Angle-Finder-Japan-91-/283584974840,74.99,USD,JP,167930,Viewfinders & Eyecups,FixedPrice,Used,Nikon DR-6 Angle Finder,8
60,,nikon nikkor 18mm,352786448211,【Almost MINT】 Nikon NIKKOR 18mm F3.5 Ai-s Ais Wide Angle MF Lens from JAPAN #445,https://www.ebay.com/itm/Almost-MINT-Nikon-NIKKOR-18mm-F3-5-Ai-s-Ais-Wide-Angle-MF-Lens-JAPAN-445-/352786448211,499.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR 18mm F3.5 Ai-S,8
97,,nikon sb12 speedlight,362748305887,【Mint】 Nikon SB-12 Speedlight Shoe Mount Flash for Nikon w/case F3 From Japan,https://www.ebay.com/itm/Mint-Nikon-SB-12-Speedlight-Shoe-Mount-Flash-Nikon-w-case-F3-Japan-/362748305887,27.99,USD,JP,48515,Flashes,FixedPrice,Used,SB-12,8
95,,nikon r10 super,401872772321,*Exc++++* Nikon R10 Super 8mm Movie Camera NIKKOR 7-70mm F/1.4 Zoom  *ALL WORKS*,https://www.ebay.com/itm/Exc-Nikon-R10-Super-8mm-Movie-Camera-NIKKOR-7-70mm-F-1-4-Zoom-ALL-WORKS-/401872772321,349.9,USD,JP,4689,Movie Cameras,StoreInventory,Used,Nikon R10,8
87,,nikon af nikkor,254181048975,Nikon AF NIKKOR 28-70mm f/3.5-4.5D  Zoom Lens  from Japan  #368807,https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-70mm-f-3-5-4-5D-Zoom-Lens-Japan-368807-/254181048975,39.99,USD,JP,3323,Lenses,StoreInventory,Used,AF Nikkor,7921
89,,nikon neck shoulder,283556630110,[Excellent+++] Nikon Neck Shoulder Strap Gray From JAPAN #5,https://www.ebay.com/itm/Excellent-Nikon-Neck-Shoulder-Strap-Gray-JAPAN-5-/283556630110,8.99,USD,JP,64343,Straps & Hand Grips,StoreInventory,Used,,79
1,,nikon neck shoulder,283556630110,[Excellent+++] Nikon Neck Shoulder Strap Gray From JAPAN #5,https://www.ebay.com/itm/Excellent-Nikon-Neck-Shoulder-Strap-Gray-JAPAN-5-/283556630110,8.99,USD,JP,64343,Straps & Hand Grips,StoreInventory,Used,,79
90,,nikon sb28 sb28,133170125595,[Excellent+++++] NIKON SB-28 SB28 Speedlight Shoe Mount Flash From Japan #12,https://www.ebay.com/itm/Excellent-NIKON-SB-28-SB28-Speedlight-Shoe-Mount-Flash-Japan-12-/133170125595,39.99,USD,JP,48515,Flashes,FixedPrice,Used,,79
22,,nikon af nikkor,183955850111,NIKON AF Nikkor 28-200mm F/3.5-5.6 G Excellent++ From JAPAN #947,https://www.ebay.com/itm/NIKON-AF-Nikkor-28-200mm-F-3-5-5-6-G-Excellent-JAPAN-947-/183955850111,220.0,USD,JP,3323,Lenses,StoreInventory,Used,,7895
47,,nikon afs nikkor,312766875716,Nikon AF-S Nikkor 24-85mm F3.5-4.5 G ED Lens w/caps from Japan #491140,https://www.ebay.com/itm/Nikon-AF-S-Nikkor-24-85mm-F3-5-4-5-G-ED-Lens-w-caps-Japan-491140-/312766875716,169.8,USD,JP,3323,Lenses,StoreInventory,Used,,7895
46,,nikon af nikkor,233186613791,Nikon AF Nikkor 24-50mm F/3.3-4.5 Zoom Lens Very Good Condition,https://www.ebay.com/itm/Nikon-AF-Nikkor-24-50mm-F-3-3-4-5-Zoom-Lens-Very-Good-Condition-/233186613791,39.99,USD,JP,3323,Lenses,StoreInventory,Used,,7895
21,,nikon af nikkor,153593117190,Nikon AF NIKKOR 75-300mm F4.5-5.6 Zoom lens from Japan [Near Mint] #8052A,https://www.ebay.com/itm/Nikon-AF-NIKKOR-75-300mm-F4-5-5-6-Zoom-lens-Japan-Near-Mint-8052A-/153593117190,99.0,USD,JP,3323,Lenses,FixedPrice,Used,,7895
8,,nikon af nikkor,323914450083,"""EXCELLENT"" Nikon AF NIKKOR 85mm F1.8 Lens for F Mount #190815m",https://www.ebay.com/itm/EXCELLENT-Nikon-AF-NIKKOR-85mm-F1-8-Lens-F-Mount-190815m-/323914450083,217.66,USD,JP,3323,Lenses,StoreInventory,Used,,7893
71,,nikon afs nikkor,352753679159,Nikon AF-S NIKKOR 55-200mm f/4-5.6 G DX ED VR Zoom Lens from Japan [Exc],https://www.ebay.com/itm/Nikon-AF-S-NIKKOR-55-200mm-f-4-5-6-G-DX-ED-VR-Zoom-Lens-Japan-Exc-/352753679159,75.0,USD,JP,3323,Lenses,FixedPrice,Used,,7893
76,,nikon af nikkor,123798771754,Almost Mint Nikon AF Nikkor 28-85mm f3.5-4.5  Macro Zoom Lens From Japan F451621,https://www.ebay.com/itm/Almost-Mint-Nikon-AF-Nikkor-28-85mm-f3-5-4-5-Macro-Zoom-Lens-Japan-F451621-/123798771754,55.0,USD,JP,3323,Lenses,FixedPrice,Used,,7893
69,,nikon afs nikkor,383146128385,NIKON AF-S NIKKOR ED 28-70mm f/2.8D SWM Light Grey Excellent,https://www.ebay.com/itm/NIKON-AF-S-NIKKOR-ED-28-70mm-f-2-8D-SWM-Light-Grey-Excellent-/383146128385,838.0,USD,JP,3323,Lenses,StoreInventory,Used,,7893
92,,nikon af nikkor,233266655875,Nikon AF NIKKOR 50mm f/1.4 D Auto Focus Lens,https://www.ebay.com/itm/Nikon-AF-NIKKOR-50mm-f-1-4-D-Auto-Focus-Lens-/233266655875,180.0,USD,JP,3323,Lenses,StoreInventory,Used,,7893
56,,nikon f4 35mm,283588885553,"Nikon F4 35mm SLR Film Camera Body ""READ"" w/Strap From Japan [4725]",https://www.ebay.com/itm/Nikon-F4-35mm-SLR-Film-Camera-Body-READ-w-Strap-Japan-4725-/283588885553,126.65,USD,JP,15230,Film Cameras,FixedPrice,Used,F4,788
0,,nikon af nikkor,383153600411,[Near Mint]  Nikon AF Nikkor 85mm f/1.8 D w/Hood from Japan #133,https://www.ebay.com/itm/Near-Mint-Nikon-AF-Nikkor-85mm-f-1-8-D-w-Hood-Japan-133-/383153600411,240.0,USD,JP,3323,Lenses,FixedPrice,Used,,7873
