,model
627,Tokina AT-X 90mm f/2.5
628,Espio 120Mi
629,Pentax SMC 67 200mm f/4
630,Pentax Light Meter
631,SMC PENTAX-A 645 Zoom 80-160mm f/4.5
632,PENTAX 645
633,SMC Pentax 67 P 105mm f/2.4
634,Pentax 67 Prism Finder
635,smc TAKUMAR 135mm F2.5
636,SA-37
637,smc 67 200mm f/4
638,ES II
639,SMC Takumar 90mm f2.8
640,smc Pentax 67 45mm f4
641,Pentax SMC Takumar 135
642,smc Pentax 67 300mm f/4
643,Pentax 6x7 TTL mirror up
644,PENTAX Takumar 6X7 105mm f/2.4 Hood
645,Pentax SMC Takumar 35mm F/2
646,SMC Pentax-FA 645 Zoom 55-110mm f/5.6
647,ESPIO AF ZOOM 35-70mm Full Macro
648,Pentax 67II Wood Hand Grip
649,PENTAX Super Takumar 55mm F1.8 M42
650,SMC M 150mm F/3.5
651,M 35-70mm F/2.8-3.5
652,Pentax K-5
653,645
654,SMC Pentax M 85mm F2
